Metric,Linus,Greg
Average Word Count,283,366
Average Sentence Count,10.894275883640914,9.319416157501697
Average Lexical Diversity,0.684605858697451,0.6404259347875007
Average Flesch Reading Ease Score,65.6759740403536,42.912582271001575
Average Grade Level,10.361056107146661,18.847864781628623
