Word,Score,Times_Appeared,Linus_Ratio,Greg_Ratio
just,801.6870235052933,10,0.9271782662670859,0.07282173373291412
drivers,785.718088342799,10,0.09954684830578696,0.900453151694213
signed,758.7371238205449,10,0.04114014797526825,0.9588598520247318
struct,569.9550539448834,10,0.12419519817525093,0.8758048018247491
think,512.1425919392411,10,0.9444729083722734,0.05552709162772662
thing,448.4337701275664,10,0.9561339456876343,0.04386605431236568
really,445.48989318268394,10,0.9347462137192013,0.0652537862807987
actually,414.304313969275,10,0.9420990208324079,0.05790097916759207
static,399.04517772502635,10,0.09482030990269685,0.9051796900973031
wrote,393.72657391264767,10,0.8115925157734616,0.1884074842265384
net,393.0979263434241,10,0.16202590705225867,0.8379740929477413
like,388.71855189130144,10,0.8911117055074824,0.10888829449251758
don,353.52059927809375,10,0.8639408694945295,0.13605913050547047
int,351.9248538852262,10,0.13533969672725446,0.8646603032727456
people,347.89235096880105,10,0.9414371822070942,0.05856281779290584
things,343.7551853005784,10,0.9388053531596622,0.06119464684033782
com,314.503662173592,10,0.22494874290550385,0.7750512570944962
dev,276.35073316504247,10,0.13402240537449805,0.865977594625502
pm,273.99557270553964,10,0.8989815112664472,0.10101848873355279
upstream,256.63421019171136,10,0.047581275860382154,0.9524187241396178
cc,252.03994454156273,10,0.10915405030782002,0.89084594969218
make,251.18742642144926,10,0.8454666640935471,0.1545333359064529
pull,248.1939185866466,10,0.9396802670704482,0.06031973292955184
ret,241.9850930051497,10,0.09714615933771105,0.9028538406622889
maybe,234.20326385549862,10,0.9512582891399081,0.048741710860091936
linuxfoundation,233.12542644997285,10,0.04117441180243862,0.9588255881975614
want,231.35358177513044,10,0.8731680096724169,0.12683199032758308
void,225.6273147448062,10,0.14715162345985822,0.8528483765401418
doesn,219.88312854307014,10,0.8647466592629858,0.13525334073701423
stable,215.05408577380666,10,0.1292281796742213,0.8707718203257787
merge,212.98712438716422,10,0.9112006332201791,0.08879936677982092
does,210.07494403725246,10,0.8312242943136088,0.16877570568639122
code,209.52138689655013,10,0.7874901495096401,0.21250985049035986
usb,207.19083302561813,10,0.18641507491498005,0.81358492508502
insertions,199.22267478851336,10,0.06092576663288594,0.939074233367114
changed,199.20492690961265,10,0.12721626246774673,0.8727837375322532
arch,196.41363359902,10,0.20185273422939382,0.7981472657706061
way,193.77909121075342,10,0.8657940635344593,0.1342059364655407
looks,193.65383108254787,10,0.906394477143543,0.09360552285645696
review,189.2200351986998,10,0.05303839562959138,0.9469616043704087
right,187.4554807992769,10,0.8664571976606158,0.1335428023393842
ok,183.63888017066756,10,0.8920891704607721,0.10791082953922793
good,182.54629756001844,10,0.8770087313669386,0.12299126863306142
yes,180.21451547056662,10,0.8978340837435281,0.10216591625647187
fact,178.20202193074843,10,0.9411014625082735,0.058898537491726466
ve,175.9843570209329,10,0.8805275520014793,0.11947244799852075
look,172.5492339364407,10,0.9083783294814225,0.0916216705185775
doing,167.3984887902154,10,0.8788294281936793,0.12117057180632074
return,164.49737435683105,10,0.2426757041205872,0.7573242958794129
probably,164.25408865652918,10,0.9192276931774904,0.08077230682250958
objections,164.15607488179504,10,0.04252622720580569,0.9574737727941943
skb,162.8051219371533,10,0.051393033148930956,0.948606966851069
point,161.21044936919603,10,0.8852146949070461,0.11478530509295393
levin,160.07632110674555,10,0.04431357821790942,0.9556864217820906
better,157.9699796225436,10,0.8946657211604008,0.10533427883959923
100644,157.87283741900134,10,0.09022623819923045,0.9097737618007695
ll,157.51369065195766,10,0.8547323030088687,0.1452676969911313
index,153.1702931987611,10,0.12742430383242095,0.872575696167579
deletion,152.4059603973771,10,0.024284638462565355,0.9757153615374347
ethernet,151.51763068372964,10,0.06223289033298568,0.9377671096670144
kind,151.23299326010994,10,0.937333149068237,0.06266685093176305
insertion,148.5275610479436,10,0.02096504421772981,0.9790349557822702
didn,148.4527324215884,10,0.8898060088420973,0.11019399115790274
somebody,148.28820174977028,10,0.9802274802717236,0.019772519728276428
makes,147.07484883598704,10,0.8796318827459009,0.12036811725409913
hmm,146.39196266740402,10,0.9745542149805158,0.025445785019484246
err,146.2935799925372,10,0.086963334094997,0.913036665905003
lot,141.7753527279962,10,0.9161304642033414,0.08386953579665857
entirely,141.06878568185877,10,0.9537890341415795,0.04621096585842055
wrong,140.8085532178675,10,0.8474769772648003,0.1525230227351997
sasha,139.06796169665532,10,0.053091232348527195,0.9469087676514728
sashal,138.21886955919715,10,0.01595120090056345,0.9840487990994365
reason,137.5382750429611,10,0.8782699899559777,0.12173001004402229
gcc,137.04970199274655,10,0.8724742325213644,0.12752576747863564
tue,136.96051157966323,10,0.8076916241164234,0.19230837588357663
reviewed,136.8159711913718,10,0.03843003428972511,0.9615699657102749
real,136.57349147904958,10,0.8792460276215947,0.12075397237840535
say,136.19170236789697,10,0.9208930184345847,0.07910698156541529
pretty,134.30177448261762,10,0.9413923353188111,0.05860766468118894
org,133.1090864513779,10,0.3158937854640981,0.6841062145359019
suspect,131.7256983138049,10,0.977726444161369,0.022273555838631
deletions,131.62053571620234,10,0.09135137105663474,0.9086486289433653
thu,131.14923097996103,10,0.8054935014788983,0.1945064985211017
mon,130.62212113977168,10,0.8080992234554347,0.19190077654456528
isn,130.24725704545932,10,0.8630955289620068,0.1369044710379932
obviously,129.27181638457486,10,0.9514075900493559,0.04859240995064407
yeah,127.96515914851848,10,0.9424312075651123,0.05756879243488766
going,127.02268281721982,10,0.863872699016915,0.136127300983085
exactly,126.86028600383807,10,0.92225822385841,0.07774177614158995
fri,125.9434136904465,9,0.8042131793370277,0.19578682066297226
staging,124.77909648513523,10,0.11077919276202335,0.8892208072379767
having,123.65241311862667,10,0.8954877694719426,0.10451223052805736
wed,123.50624307719984,10,0.7944490506898243,0.2055509493101757
gpu,123.22802650012707,8,0.09911519112648201,0.900884808873518
page,123.07947639860164,6,0.749062938665915,0.250937061334085
priv,122.972463499645,10,0.02463447200743164,0.9753655279925684
include,122.19955177389257,7,0.23829713369201805,0.7617028663079819
basically,121.8345453138905,9,0.9619081454024011,0.038091854597598895
sense,120.86712444026115,9,0.8972808578107033,0.10271914218929667
use,120.6956573204228,4,0.7274199147948075,0.2725800852051925
quite,120.63180515885053,1,0.9279398449071974,0.07206015509280261
did,120.55815016195265,8,0.8333983544020656,0.16660164559793444
stuff,120.13633068483321,1,0.8989085165407805,0.10109148345921948
simply,120.12196660120614,1,0.9111441679841594,0.08885583201584057
compiler,119.87960654929346,3,0.8957622989112259,0.10423770108877406
broken,119.4244473522612,2,0.877992812337746,0.12200718766225405
pdev,119.30263780249948,2,0.04294983070195733,0.9570501692980427
